comandoerr,comando
l,ls
pdw,pwd
descargr,descargar
usbir,subir
cambiar nombdre,cambiar nombre
mdificar contenido,modificar contenido
exmt,exit
cerrar stesion,cerrar sesion
claer,clear
mbdir,mkdir
mkfil,mkfile
fd,cd
lsp,ls
cpwd,pwd
escargar,descargar
srbir,subir
cambia rnombre,cambiar nombre
modiifcar contenido,modificar contenido
xeit,exit
pcerrar sesion,cerrar sesion
cler,clear
mfdir,mkdir
mkifle,mkfile
d,cd
s,ls
pd,pwd
descarwar,descargar
ubir,subir
cammbiar nombre,cambiar nombre
mdificar contenido,modificar contenido
egxit,exit
cerrar ssion,cerrar sesion
clezr,clear
mkdeir,mkdir
mkflie,mkfile
cdo,cd
lr,ls
pawd,pwd
djescargar,descargar
gubir,subir
cambar nombre,cambiar nombre
modificarc ontenido,modificar contenido
xeit,exit
cerrar sesio,cerrar sesion
clar,clear
mkdicr,mkdir
kmfile,mkfile
d,cd
lbs,ls
wpd,pwd
desdargar,descargar
subijr,subir
cambiarn ombre,cambiar nombre
modificar contesido,modificar contenido
exig,exit
cerra rsesion,cerrar sesion
clera,clear
lkdir,mkdir
mkfiile,mkfile
cdd,cd
l,ls
kwd,pwd
descaragr,descargar
suibr,subir
canbiar nombre,cambiar nombre
modificarcontenido,modificar contenido
exi,exit
cerrar sesioln,cerrar sesion
cleai,clear
mkidr,mkdir
mkficle,mkfile
c,cd
sl,ls
swd,pwd
descragar,descargar
ubir,subir
cambiarnombre,cambiar nombre
modificarcontenido,modificar contenido
eit,exit
cerrar seison,cerrar sesion
clar,clear
mpdir,mkdir
kmfile,mkfile
cdt,cd
l,ls
pd,pwd
descaragr,descargar
subi,subir
cammbiar nombre,cambiar nombre
modificarcontenido,modificar contenido
qxit,exit
cerrrr sesion,cerrar sesion
cear,clear
mdir,mkdir
kmfile,mkfile
cmd,cd
las,ls
pkwd,pwd
delcargar,descargar
ssubir,subir
cambiar norbre,cambiar nombre
modificar conttenido,modificar contenido
exid,exit
cerrar sesihn,cerrar sesion
claer,clear
mkdr,mkdir
mfile,mkfile
c,cd
lsn,ls
pd,pwd
jdescargar,descargar
subr,subir
cambiar nobmre,cambiar nombre
modificar conenido,modificar contenido
txit,exit
cerrar ysesion,cerrar sesion
cleare,clear
mkir,mkdir
mfile,mkfile
cc,cd
rls,ls
pwdp,pwd
descargr,descargar
subik,subir
cmabiar nombre,cambiar nombre
modificarc ontenido,modificar contenido
exi,exit
cerraf sesion,cerrar sesion
clera,clear
mkdig,mkdir
kfile,mkfile
d,cd
lu,ls
wd,pwd
desckrgar,descargar
suibr,subir
cambiar nomubre,cambiar nombre
modificar contenito,modificar contenido
exiv,exit
cerrar vsesion,cerrar sesion
claer,clear
mkdixr,mkdir
mkoile,mkfile
dc,cd
sl,ls
pdw,pwd
descargjr,descargar
subpr,subir
cambiar nolmbre,cambiar nombre
modifiacr contenido,modificar contenido
exitk,exit
cerrar sbesion,cerrar sesion
mlear,clear
mkidir,mkdir
omkfile,mkfile
cdy,cd
l,ls
wpd,pwd
decsargar,descargar
asubir,subir
cambitar nombre,cambiar nombre
modificar cyntenido,modificar contenido
ext,exit
cerrar sesson,cerrar sesion
clea,clear
midir,mkdir
mkfilev,mkfile
dc,cd
lsb,ls
pw,pwd
descargarw,descargar
subri,subir
cambiar nomrbe,cambiar nombre
modificar ciontenido,modificar contenido
eit,exit
cerrr sesion,cerrar sesion
claer,clear
mkdr,mkdir
mkrfile,mkfile
cj,cd
lsl,ls
pdw,pwd
dscargar,descargar
sbir,subir
cambiarn ombre,cambiar nombre
modqificar contenido,modificar contenido
emit,exit
ceqrar sesion,cerrar sesion
lear,clear
mkdibr,mkdir
mpkfile,mkfile
c,cd
cs,ls
wpd,pwd
dnescargar,descargar
suxir,subir
cvmbiar nombre,cambiar nombre
modificzar contenido,modificar contenido
xit,exit
cerrar sesicon,cerrar sesion
clewr,clear
gmkdir,mkdir
mkifle,mkfile
dc,cd
els,ls
pd,pwd
deqcargar,descargar
subxr,subir
cambiar nomber,cambiar nombre
modificarncontenido,modificar contenido
zxit,exit
cerrar sresion,cerrar sesion
claer,clear
mkdij,mkdir
mkifle,mkfile
kd,cd
l,ls
pywd,pwd
descrgar,descargar
surir,subir
cambziar nombre,cambiar nombre
moyificar contenido,modificar contenido
fxit,exit
cerrah sesion,cerrar sesion
colear,clear
mdir,mkdir
kfile,mkfile
dc,cd
ps,ls
pwg,pwd
descargra,descargar
sbuir,subir
cambiar nmbre,cambiar nombre
modificar cosntenido,modificar contenido
hxit,exit
cerra sesion,cerrar sesion
cleaq,clear
vmkdir,mkdir
kmfile,mkfile
dc,cd
lns,ls
mwd,pwd
pdescargar,descargar
sbir,subir
cambiar nxmbre,cambiar nombre
modificar cnotenido,modificar contenido
eit,exit
cerarr sesion,cerrar sesion
cler,clear
mkdri,mkdir
mkile,mkfile
qcd,cd
lse,ls
pwfd,pwd
descargawr,descargar
subri,subir
camiiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
exti,exit
cerrarssesion,cerrar sesion
culear,clear
kmdir,mkdir
mfile,mkfile
dc,cd
l,ls
wpd,pwd
descagar,descargar
subrr,subir
cambiar nombr,cambiar nombre
modificar conltenido,modificar contenido
exi,exit
cerar sesion,cerrar sesion
lear,clear
mkidr,mkdir
mdfile,mkfile
d,cd
lb,ls
ptd,pwd
descargcar,descargar
sbir,subir
acmbiar nombre,cambiar nombre
modificar contfenido,modificar contenido
xit,exit
cerrar seion,cerrar sesion
celar,clear
mkoir,mkdir
hmkfile,mkfile
ccd,cd
ly,ls
pwqd,pwd
dehcargar,descargar
seubir,subir
cambiar ombre,cambiar nombre
modificar contenidos,modificar contenido
xit,exit
cerar sesion,cerrar sesion
clecar,clear
mkdbr,mkdir
mfkile,mkfile
cc,cd
s,ls
pwwd,pwd
cescargar,descargar
swbir,subir
cambair nombre,cambiar nombre
modificar contneido,modificar contenido
xeit,exit
cerar sesion,cerrar sesion
lcear,clear
kmdir,mkdir
mfile,mkfile
cyd,cd
ps,ls
jwd,pwd
descargarl,descargar
subiw,subir
cambiarpnombre,cambiar nombre
modificar conteindo,modificar contenido
exti,exit
cerrar sesino,cerrar sesion
cblear,clear
mkdri,mkdir
kfile,mkfile
dc,cd
lsh,ls
pw,pwd
desccrgar,descargar
sgubir,subir
cambiar nomrbe,cambiar nombre
modificar conxenido,modificar contenido
exi,exit
cerrar sesiin,cerrar sesion
clecr,clear
mkdirl,mkdir
mkfil,mkfile
yd,cd
s,ls
pwk,pwd
defcargar,descargar
stubir,subir
cammbiar nombre,cambiar nombre
qodificar contenido,modificar contenido
cexit,exit
cerkar sesion,cerrar sesion
ylear,clear
mkdif,mkdir
kmfile,mkfile
dc,cd
lsc,ls
pw,pwd
descargakr,descargar
subfr,subir
camibiar nombre,cambiar nombre
mydificar contenido,modificar contenido
exizt,exit
cerrxr sesion,cerrar sesion
clea,clear
mvdir,mkdir
mkfilte,mkfile
dc,cd
sl,ls
pwc,pwd
despcargar,descargar
subri,subir
cambhiar nombre,cambiar nombre
modificar cnotenido,modificar contenido
exi,exit
cerrar zsesion,cerrar sesion
clewr,clear
mkduir,mkdir
kmfile,mkfile
cm,cd
s,ls
pwdy,pwd
descarar,descargar
subeir,subir
camibar nombre,cambiar nombre
modificsar contenido,modificar contenido
exiqt,exit
cerrr sesion,cerrar sesion
lcear,clear
umkdir,mkdir
mkfkle,mkfile
cfd,cd
sl,ls
owd,pwd
descargal,descargar
suoir,subir
cambiar nuombre,cambiar nombre
modificad contenido,modificar contenido
exgt,exit
cerrarsesion,cerrar sesion
claer,clear
mgdir,mkdir
mkfily,mkfile
cud,cd
sl,ls
pdw,pwd
descagar,descargar
subri,subir
cmabiar nombre,cambiar nombre
mdificar contenido,modificar contenido
exitc,exit
errar sesion,cerrar sesion
cleor,clear
mekdir,mkdir
mkfiile,mkfile
d,cd
lss,ls
pdw,pwd
descarar,descargar
suir,subir
cambiar nopmbre,cambiar nombre
modificar contenidh,modificar contenido
eit,exit
ncerrar sesion,cerrar sesion
claer,clear
mkdr,mkdir
mkfille,mkfile
ccd,cd
s,ls
pdwd,pwd
descagar,descargar
ubir,subir
ccambiar nombre,cambiar nombre
modificar ontenido,modificar contenido
qxit,exit
cerrar seison,cerrar sesion
clea,clear
mokdir,mkdir
mkdfile,mkfile
dc,cd
ly,ls
pw,pwd
descarrgar,descargar
suir,subir
cambiarn ombre,cambiar nombre
modinficar contenido,modificar contenido
xit,exit
qerrar sesion,cerrar sesion
flear,clear
ikdir,mkdir
mfkile,mkfile
d,cd
s,ls
pqd,pwd
descarogar,descargar
suibr,subir
cambiar nolmbre,cambiar nombre
modificar contpenido,modificar contenido
xit,exit
cerraresesion,cerrar sesion
lear,clear
ikdir,mkdir
mfile,mkfile
zcd,cd
s,ls
pw,pwd
descargzar,descargar
sobir,subir
kambiar nombre,cambiar nombre
modificar contgnido,modificar contenido
eeit,exit
crrar sesion,cerrar sesion
clpar,clear
kdir,mkdir
mkfiel,mkfile
cod,cd
ks,ls
rwd,pwd
dscargar,descargar
ubir,subir
camibar nombre,cambiar nombre
modificar contenidno,modificar contenido
eit,exit
cerra rsesion,cerrar sesion
claer,clear
mkdif,mkdir
mkqile,mkfile
d,cd
hs,ls
pgd,pwd
descarga,descargar
skbir,subir
cambiar nobmre,cambiar nombre
modificarcontenido,modificar contenido
exiwt,exit
cerrra sesion,cerrar sesion
cleir,clear
mkdr,mkdir
mfkile,mkfile
dc,cd
s,ls
pwnd,pwd
descargvr,descargar
subnir,subir
cambiar nomlre,cambiar nombre
modificar coxntenido,modificar contenido
exiit,exit
cerrar sesoin,cerrar sesion
lcear,clear
mkdire,mkdir
mkfle,mkfile
ch,cd
lsw,ls
dpwd,pwd
decsargar,descargar
sudbir,subir
cambiart nombre,cambiar nombre
moditficar contenido,modificar contenido
eit,exit
cerrar sesio,cerrar sesion
clea,clear
mkir,mkdir
mkfie,mkfile
c,cd
sl,ls
fpwd,pwd
descargxar,descargar
soubir,subir
ycambiar nombre,cambiar nombre
modfiicar contenido,modificar contenido
exitb,exit
cerrawr sesion,cerrar sesion
cler,clear
mkdpir,mkdir
kmfile,mkfile
cl,cd
l,ls
wpd,pwd
decargar,descargar
suyir,subir
ambiar nombre,cambiar nombre
mtodificar contenido,modificar contenido
exjit,exit
cerrar gesion,cerrar sesion
cplear,clear
mkdri,mkdir
mkfule,mkfile
cdm,cd
l,ls
cpwd,pwd
edscargar,descargar
subri,subir
camibar nombre,cambiar nombre
modificarccontenido,modificar contenido
eixt,exit
cerrars esion,cerrar sesion
cqlear,clear
mkdr,mkdir
mkhfile,mkfile
c,cd
s,ls
wpd,pwd
descalgar,descargar
subcir,subir
cambiar nmbre,cambiar nombre
modvficar contenido,modificar contenido
exnit,exit
cerrar spsion,cerrar sesion
celar,clear
mkdr,mkdir
umkfile,mkfile
qcd,cd
rs,ls
pd,pwd
descargr,descargar
yubir,subir
cambira nombre,cambiar nombre
modicficar contenido,modificar contenido
ekit,exit
cerrar sesioen,cerrar sesion
cleyar,clear
mdkir,mkdir
mkfiel,mkfile
c,cd
sl,ls
pwkd,pwd
edscargar,descargar
usbir,subir
cambair nombre,cambiar nombre
modificar cxontenido,modificar contenido
eixt,exit
cerrar sesionp,cerrar sesion
cleafr,clear
kdir,mkdir
mfkile,mkfile
cx,cd
xls,ls
pd,pwd
dsecargar,descargar
suibr,subir
cambiar nzombre,cambiar nombre
modificar contenidop,modificar contenido
exiz,exit
cerrar esion,cerrar sesion
claer,clear
mkddr,mkdir
mkxile,mkfile
icd,cd
lzs,ls
pw,pwd
descrargar,descargar
subibr,subir
cambiar noqmbre,cambiar nombre
modificarcontenido,modificar contenido
exrit,exit
cervrar sesion,cerrar sesion
clar,clear
mkir,mkdir
mnfile,mkfile
d,cd
sl,ls
pwq,pwd
desacrgar,descargar
suibr,subir
acmbiar nombre,cambiar nombre
odificar contenido,modificar contenido
exti,exit
cerrar sejsion,cerrar sesion
cplear,clear
mkdri,mkdir
tmkfile,mkfile
rd,cd
s,ls
vwd,pwd
descrgar,descargar
usbir,subir
cambiar nvombre,cambiar nombre
modificar cntenido,modificar contenido
xeit,exit
ckerrar sesion,cerrar sesion
lear,clear
mkeir,mkdir
mkile,mkfile
d,cd
als,ls
wpd,pwd
edscargar,descargar
sxbir,subir
cambeiar nombre,cambiar nombre
moldificar contenido,modificar contenido
exi,exit
cerrars esion,cerrar sesion
gclear,clear
mkir,mkdir
mkfie,mkfile
zcd,cd
l,ls
pdw,pwd
descargra,descargar
sdubir,subir
cambair nombre,cambiar nombre
modificam contenido,modificar contenido
iexit,exit
cerra sesion,cerrar sesion
kclear,clear
mkdri,mkdir
jkfile,mkfile
cj,cd
lse,ls
pd,pwd
dscargar,descargar
subri,subir
cabiar nombre,cambiar nombre
modificarcontenido,modificar contenido
eixt,exit
cerrarsesion,cerrar sesion
lcear,clear
mkdr,mkdir
mkfie,mkfile
d,cd
lsk,ls
wpd,pwd
descagar,descargar
sabir,subir
cmabiar nombre,cambiar nombre
modificar contenid,modificar contenido
exmt,exit
cerrar seion,cerrar sesion
cklear,clear
mkir,mkdir
mfkile,mkfile
dc,cd
tls,ls
pwdm,pwd
decargar,descargar
subbr,subir
cabiar nombre,cambiar nombre
modificar conetnido,modificar contenido
xeit,exit
ucerrar sesion,cerrar sesion
cledar,clear
mkdr,mkdir
mkfle,mkfile
cs,cd
l,ls
pdw,pwd
descagar,descargar
ubir,subir
caibiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
exi,exit
cerrar qesion,cerrar sesion
cler,clear
mkir,mkdir
mkfie,mkfile
cdn,cd
l,ls
zpwd,pwd
desacrgar,descargar
subi,subir
cambilar nombre,cambiar nombre
modificr contenido,modificar contenido
exis,exit
cerrar seson,cerrar sesion
cbear,clear
mkidr,mkdir
mkqfile,mkfile
cg,cd
l,ls
pcd,pwd
escargar,descargar
subri,subir
bcambiar nombre,cambiar nombre
modifica rcontenido,modificar contenido
exif,exit
cerrarrsesion,cerrar sesion
cledar,clear
mkdic,mkdir
mkifle,mkfile
ud,cd
lsp,ls
pwds,pwd
decsargar,descargar
suqbir,subir
camviar nombre,cambiar nombre
modificar contenidoz,modificar contenido
eixt,exit
cerrar seison,cerrar sesion
cler,clear
midir,mkdir
mkfilce,mkfile
dc,cd
ns,ls
pqwd,pwd
descarar,descargar
subirc,subir
cambiar nobmre,cambiar nombre
modificar contenoido,modificar contenido
exitf,exit
xerrar sesion,cerrar sesion
clar,clear
midir,mkdir
mkfle,mkfile
cx,cd
sl,ls
ptwd,pwd
decargar,descargar
srubir,subir
cabmiar nombre,cambiar nombre
modificar contnido,modificar contenido
eixt,exit
cerrra sesion,cerrar sesion
clnar,clear
mkdi,mkdir
tmkfile,mkfile
kd,cd
lw,ls
pd,pwd
descargra,descargar
usbir,subir
cambiaqr nombre,cambiar nombre
modificar cortenido,modificar contenido
zxit,exit
cerrar ssion,cerrar sesion
cleag,clear
mdkir,mkdir
mkfie,mkfile
lcd,cd
s,ls
wpd,pwd
cdescargar,descargar
suair,subir
cambiar nombrez,cambiar nombre
modificr contenido,modificar contenido
exid,exit
ceryrar sesion,cerrar sesion
cllear,clear
kdir,mkdir
mkflie,mkfile
dc,cd
l,ls
pwc,pwd
descamgar,descargar
sbuir,subir
cambar nombre,cambiar nombre
modificarn contenido,modificar contenido
erxit,exit
cerrrr sesion,cerrar sesion
cleaj,clear
mkair,mkdir
mkyfile,mkfile
d,cd
hls,ls
awd,pwd
descargqr,descargar
suibr,subir
cambia nombre,cambiar nombre
modificar ncontenido,modificar contenido
ext,exit
cerdar sesion,cerrar sesion
lear,clear
ekdir,mkdir
mkfil,mkfile
cbd,cd
bs,ls
wd,pwd
delscargar,descargar
suir,subir
cambiarn ombre,cambiar nombre
modificar cnotenido,modificar contenido
enit,exit
cerrer sesion,cerrar sesion
clenar,clear
emkdir,mkdir
mpfile,mkfile
dc,cd
sl,ls
pw,pwd
descargaor,descargar
suybir,subir
cambialr nombre,cambiar nombre
modificar ontenido,modificar contenido
exlt,exit
cerrarsesion,cerrar sesion
cqlear,clear
mkir,mkdir
mkfole,mkfile
dc,cd
sl,ls
wpd,pwd
desacrgar,descargar
ubir,subir
camiar nombre,cambiar nombre
modiflicar contenido,modificar contenido
xeit,exit
cmrrar sesion,cerrar sesion
cliear,clear
kmdir,mkdir
mkfidle,mkfile
fcd,cd
lv,ls
hpwd,pwd
desacrgar,descargar
subr,subir
cambidar nombre,cambiar nombre
modificar contenio,modificar contenido
eixt,exit
cerryr sesion,cerrar sesion
kclear,clear
kdir,mkdir
mkfigle,mkfile
c,cd
s,ls
pwe,pwd
descargra,descargar
ksubir,subir
cambiarnombre,cambiar nombre
modimicar contenido,modificar contenido
exity,exit
cerar sesion,cerrar sesion
clea,clear
mkir,mkdir
mkfil,mkfile
d,cd
lsb,ls
pwdr,pwd
decsargar,descargar
usbir,subir
cambiar xnombre,cambiar nombre
mqodificar contenido,modificar contenido
exita,exit
cerrar sesino,cerrar sesion
cear,clear
kdir,mkdir
mkfilk,mkfile
dc,cd
zs,ls
pdw,pwd
descxrgar,descargar
sbuir,subir
cambiar nomrbe,cambiar nombre
mdoificar contenido,modificar contenido
ekit,exit
cerra sesion,cerrar sesion
cwlear,clear
mkoir,mkdir
kfile,mkfile
ad,cd
lsp,ls
wpd,pwd
dsecargar,descargar
sumbir,subir
cambiar nobmre,cambiar nombre
modificar contneido,modificar contenido
xit,exit
cerrar sesiom,cerrar sesion
cwlear,clear
ekdir,mkdir
mkfilr,mkfile
cdr,cd
s,ls
pwdi,pwd
descargah,descargar
usbir,subir
cambiar nombrm,cambiar nombre
modqificar contenido,modificar contenido
xit,exit
errar sesion,cerrar sesion
cldar,clear
mkdri,mkdir
mkfiole,mkfile
c,cd
sl,ls
upwd,pwd
duscargar,descargar
suubir,subir
cambiar nomtbre,cambiar nombre
modificar contezido,modificar contenido
exti,exit
cebrrar sesion,cerrar sesion
clearo,clear
mktdir,mkdir
mkfilpe,mkfile
d,cd
cls,ls
pd,pwd
descargab,descargar
sukbir,subir
acmbiar nombre,cambiar nombre
modificar sontenido,modificar contenido
exiet,exit
crerar sesion,cerrar sesion
cler,clear
mkdiq,mkdir
mkfwile,mkfile
dc,cd
lms,ls
pw,pwd
escargar,descargar
subr,subir
cambiarnombre,cambiar nombre
modifciar contenido,modificar contenido
qexit,exit
cerras sesion,cerrar sesion
tlear,clear
mkdri,mkdir
mfkile,mkfile
dc,cd
l,ls
pmd,pwd
dscargar,descargar
suibr,subir
acmbiar nombre,cambiar nombre
modificar contnido,modificar contenido
exi,exit
cemrrar sesion,cerrar sesion
eclear,clear
mkdcir,mkdir
pkfile,mkfile
czd,cd
ils,ls
wd,pwd
desecargar,descargar
suybir,subir
ambiar nombre,cambiar nombre
moidficar contenido,modificar contenido
xit,exit
cerrar ssesion,cerrar sesion
cear,clear
mdkir,mkdir
mfkile,mkfile
cwd,cd
ly,ls
pwv,pwd
descarar,descargar
scubir,subir
cambiar nombie,cambiar nombre
modificaw contenido,modificar contenido
xit,exit
cerrarr sesion,cerrar sesion
clea,clear
mkdwr,mkdir
mkfie,mkfile
dc,cd
s,ls
pxd,pwd
descaragr,descargar
subkr,subir
camibar nombre,cambiar nombre
mondificar contenido,modificar contenido
exitl,exit
cerrar sesionj,cerrar sesion
cleal,clear
mrdir,mkdir
kmfile,mkfile
cdd,cd
sl,ls
bwd,pwd
descagar,descargar
suir,subir
cambiar nomre,cambiar nombre
modiifcar contenido,modificar contenido
exio,exit
cerrar sesuion,cerrar sesion
cleajr,clear
mkdr,mkdir
mkifle,mkfile
dc,cd
lw,ls
pd,pwd
descargas,descargar
suqir,subir
camkiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
xeit,exit
cerar sesion,cerrar sesion
clera,clear
kdir,mkdir
mkfiel,mkfile
dc,cd
lk,ls
pwpd,pwd
descrgar,descargar
subim,subir
cqambiar nombre,cambiar nombre
mdificar contenido,modificar contenido
xeit,exit
vcerrar sesion,cerrar sesion
ilear,clear
mkcdir,mkdir
mkaile,mkfile
co,cd
sl,ls
ptwd,pwd
dwscargar,descargar
subiy,subir
camkiar nombre,cambiar nombre
modifqicar contenido,modificar contenido
exti,exit
cerrr sesion,cerrar sesion
celar,clear
fmkdir,mkdir
mkfilbe,mkfile
dc,cd
sl,ls
pww,pwd
dsecargar,descargar
suir,subir
cambia rnombre,cambiar nombre
modificjr contenido,modificar contenido
exig,exit
cerrbar sesion,cerrar sesion
cear,clear
medir,mkdir
mfkile,mkfile
dc,cd
sl,ls
pwdp,pwd
descarar,descargar
sbir,subir
ambiar nombre,cambiar nombre
mdificar contenido,modificar contenido
xit,exit
ceyrrar sesion,cerrar sesion
claer,clear
mkdfir,mkdir
mkfiel,mkfile
cde,cd
lsw,ls
pwud,pwd
descahrgar,descargar
subil,subir
cambia rnombre,cambiar nombre
modificar contenio,modificar contenido
exith,exit
ecrrar sesion,cerrar sesion
cljar,clear
mkir,mkdir
mkfilbe,mkfile
ed,cd
sl,ls
pld,pwd
escargar,descargar
sbuir,subir
cambiar nlombre,cambiar nombre
modihicar contenido,modificar contenido
ext,exit
cerrar sesoin,cerrar sesion
clera,clear
mkdi,mkdir
mkfilee,mkfile
cb,cd
lis,ls
pwbd,pwd
descwargar,descargar
wubir,subir
cambiar nobre,cambiar nombre
modifica rcontenido,modificar contenido
ext,exit
cerrar sesqion,cerrar sesion
cler,clear
kdir,mkdir
mkfxile,mkfile
cj,cd
fs,ls
bpwd,pwd
descargra,descargar
sucir,subir
cambiarn nombre,cambiar nombre
modfiicar contenido,modificar contenido
lexit,exit
cerrar esion,cerrar sesion
clrar,clear
mkdri,mkdir
smkfile,mkfile
d,cd
s,ls
wpd,pwd
decargar,descargar
subri,subir
cambia nombre,cambiar nombre
rodificar contenido,modificar contenido
emit,exit
ecrrar sesion,cerrar sesion
clemar,clear
mkdil,mkdir
makfile,mkfile
dc,cd
lfs,ls
pwq,pwd
desargar,descargar
subira,subir
cambiar onmbre,cambiar nombre
modifiacr contenido,modificar contenido
xeit,exit
cerrarsesion,cerrar sesion
cler,clear
mkdi,mkdir
mkifle,mkfile
dc,cd
sl,ls
pwdi,pwd
descaagar,descargar
suibr,subir
cambiar onmbre,cambiar nombre
modificra contenido,modificar contenido
exsit,exit
cerralr sesion,cerrar sesion
cler,clear
mkpir,mkdir
mkfize,mkfile
ce,cd
la,ls
pdw,pwd
descargapr,descargar
subiir,subir
cambiakr nombre,cambiar nombre
modificar condenido,modificar contenido
lxit,exit
cerrar sesin,cerrar sesion
cear,clear
kmdir,mkdir
mkfil,mkfile
c,cd
l,ls
pwc,pwd
desargar,descargar
ubir,subir
cmabiar nombre,cambiar nombre
modificar conteenido,modificar contenido
eixt,exit
cerrar sesizn,cerrar sesion
clera,clear
mkdri,mkdir
kmfile,mkfile
ce,cd
lls,ls
wpd,pwd
descragar,descargar
ssbir,subir
cambiar nomre,cambiar nombre
modisficar contenido,modificar contenido
esxit,exit
cerrra sesion,cerrar sesion
clenar,clear
mkgir,mkdir
mkkile,mkfile
pd,cd
xs,ls
pwtd,pwd
escargar,descargar
usbir,subir
cambiar nxombre,cambiar nombre
modificar oontenido,modificar contenido
rexit,exit
zcerrar sesion,cerrar sesion
clea,clear
mkidr,mkdir
mkfyle,mkfile
cfd,cd
sl,ls
pwj,pwd
descamrgar,descargar
subr,subir
cambiar nomre,cambiar nombre
rodificar contenido,modificar contenido
xeit,exit
cerrao sesion,cerrar sesion
cleaq,clear
mdkir,mkdir
mkfle,mkfile
ld,cd
sl,ls
pdw,pwd
decsargar,descargar
suir,subir
cambiar nombrbe,cambiar nombre
modificar cotnenido,modificar contenido
txit,exit
cerrar ession,cerrar sesion
clelr,clear
wkdir,mkdir
mkfie,mkfile
d,cd
lst,ls
pwhd,pwd
descagrar,descargar
suhir,subir
cmbiar nombre,cambiar nombre
modificar contenio,modificar contenido
eit,exit
cerrar sebion,cerrar sesion
clera,clear
mkir,mkdir
mkfie,mkfile
d,cd
lsa,ls
pdw,pwd
desicargar,descargar
subim,subir
cambpiar nombre,cambiar nombre
modificar contnido,modificar contenido
exie,exit
crrrar sesion,cerrar sesion
lcear,clear
mykdir,mkdir
mfile,mkfile
dd,cd
l,ls
pw,pwd
descagar,descargar
sublir,subir
camibar nombre,cambiar nombre
modificar ocntenido,modificar contenido
eit,exit
ceirar sesion,cerrar sesion
lcear,clear
kmdir,mkdir
mkfil,mkfile
cdu,cd
lb,ls
pwz,pwd
descargwar,descargar
sbuir,subir
cambair nombre,cambiar nombre
mdoificar contenido,modificar contenido
wexit,exit
cerrar sesiop,cerrar sesion
